Time (h),CSF total tracer content (mmol),PAR total tracer content (mmol),PVS art. total tracer content (mmol),PVS vein total tracer content (mmol),PVS cont. total tracer content (mmol)
12.466666666666667,0.24883853433769634,0.06733899409133637,0.017622914605027778,0.02290229359823404,-3.982560362265128e-18
12.5,0.2480713098626144,0.06740217941923202,0.017553794136591423,0.022846576854230617,-3.991460082804914e-18
12.533333333333333,0.2473045981962053,0.0674646879848962,0.017484270649228594,0.022790872044737783,-4.0004201054676795e-18
12.566666666666666,0.246538435445827,0.06752652456097441,0.01741435278683256,0.022735181197285417,-4.0094400381650476e-18
12.6,0.2457728570382211,0.06758769387808618,0.017344049488002552,0.02267950627608945,-4.018519477379705e-18
12.633333333333333,0.24500789770440104,0.06764820062521777,0.017273369972833966,0.022623849184303855,-4.02765800873036e-18
12.666666666666666,0.24424359146601157,0.06770804945008356,0.017202323729695452,0.022568211766229262,-4.036855207520062e-18
12.7,0.2434799716229942,0.06776724495941669,0.01713092050200713,0.022512595809481117,-4.0461106392679215e-18
12.733333333333333,0.24271707074271662,0.06782579171930712,0.017059170275027586,0.022457003047122837,-4.055423860224377e-18
12.766666666666667,0.2419549206504619,0.06788369425542932,0.016987083262664366,0.02240143515977314,-4.064794417869996e-18
12.8,0.24119355242109566,0.06794095705331209,0.016914669894317523,0.022345893777681827,-4.074221851398024e-18
12.833333333333334,0.24043299637205304,0.06799758455855333,0.016841940801768047,0.02229038048278857,-4.083705692180692e-18
12.866666666666667,0.23967328205761212,0.0680535811770037,0.016768906806125642,0.022234896810758333,-4.093245464219579e-18
12.9,0.23891443826421485,0.06810895127497299,0.016695578904842943,0.022179444253005155,-4.102840684580058e-18
12.933333333333334,0.23815649300702466,0.06816369917936428,0.01662196825881226,0.022124024258697375,-4.112490863810077e-18
12.966666666666667,0.23739947352757723,0.068217829177833,0.016548086179554923,0.022068638236755755,-4.12219550634345e-18
13.0,0.23664340629240133,0.06827134551890271,0.016473944116514,0.022013287557837456,-4.131954110887891e-18
13.033333333333333,0.23588831699278315,0.06832425241208855,0.016399553644464875,0.021957973556312987,-4.141766170797956e-18
13.066666666666666,0.23513423054539928,0.06837655402799846,0.016324926451051793,0.021902697532234974,-4.1516311744331735e-18
13.1,0.23438117109398562,0.06842825449842123,0.016250074324465822,0.021847460753294606,-4.161548605501626e-18
13.133333333333333,0.23362916201180225,0.06847935791642037,0.01617500914127201,0.021792264456775127,-4.1715179433891915e-18
13.166666666666666,0.23287822590500712,0.06852986833639502,0.016099742854399048,0.02173710985149281,-4.1815386634747634e-18
13.2,0.23212838461687074,0.06857978977416182,0.016024287481302583,0.02168199811972809,-4.191610237431709e-18
13.233333333333333,0.2313796592327378,0.06862912620703031,0.01594865509231052,0.021626930419147962,-4.20173213351584e-18
13.266666666666667,0.23063207008570258,0.06867788157383815,0.01587285779916424,0.02157190788471209,-4.211903816840291e-18
13.3,0.229885636763055,0.06872605977506543,0.015796907743763612,0.02151693163056808,-4.222124749637473e-18
13.333333333333334,0.22914037811333862,0.06877366467284826,0.01572081708712494,0.021462002751927806,-4.232394391508543e-18
13.366666666666667,0.2283963122541049,0.06882070009107222,0.015644597998564127,0.021407122326926077,-4.2427121996607106e-18
13.4,0.22765345658014527,0.06886716981544765,0.015568262645111172,0.021352291418457528,-4.253077629132619e-18
13.433333333333334,0.22691182777244784,0.06891307759356322,0.01549182318116611,0.02129751107599006,-4.263490133008281e-18
13.466666666666667,0.22617144180753793,0.0689584271349654,0.015415291738404701,0.021242782337349386,-4.273949162619815e-18
13.5,0.22543231396743535,0.06900322211127684,0.015338680415940364,0.0211881062304769,-4.28445416773941e-18
13.533333333333333,0.22469445884997624,0.06904746615624273,0.015262001270750537,0.02113348377515157,-4.295004596760849e-18
13.566666666666666,0.22395789037965036,0.069091162865872,0.015185266308374091,0.02107891598467629,-4.3055998968709385e-18
13.6,0.22322262181881408,0.06913431579851344,0.015108487473885155,0.021024403867528095,-4.3162395142112855e-18
13.633333333333333,0.22248866577930507,0.06917692847499265,0.015031676643150063,0.020969948428959117,-4.326922894030721e-18
13.666666666666666,0.2217560342343677,0.06921900437873736,0.014954845614370976,0.020915550672557952,-4.3376494808287845e-18
13.7,0.22102473853092805,0.06926054695593155,0.014878006099922727,0.020861211601758467,-4.348418718490643e-18
13.733333333333333,0.2202947894022443,0.06930155961563636,0.014801169718484226,0.020806932221297324,-4.359230050413836e-18
13.766666666666667,0.21956619698067345,0.06934204572997839,0.014724347987469619,0.0207527135386154,-4.370082919627206e-18
13.8,0.21883897081091017,0.06938200863431125,0.014647552315761982,0.020698556565202038,-4.3809767689024094e-18
13.833333333333334,0.21811311986320603,0.0694214516274307,0.014570793996749454,0.020644462317876377,-4.391911040858364e-18
13.866666666666667,0.21738865254703785,0.06946037797172905,0.014494084201668965,0.020590431820005174,-4.402885178059067e-18
13.9,0.2166655767248212,0.06949879089344707,0.01441743397325408,0.02053646610265367,-4.4138986231050715e-18
13.933333333333334,0.21594389972583536,0.0695366935828839,0.01434085421969221,0.020482566205668417,-4.424950818719084e-18
13.966666666666667,0.21522362836033426,0.0695740891946459,0.01426435570888657,0.020428733178685328,-4.436041207825973e-18
14.0,0.21450476893372628,0.0696109808478833,0.014187949063025508,0.020374968082068283,-4.4471692336276084e-18
14.033333333333333,0.21378732726094496,0.06964737162657243,0.01411164475345565,0.020321271987767973,-4.458334339672851e-18
14.066666666666666,0.2130713086808584,0.06968326457978007,0.014035453095858836,0.02026764598010607,-4.4695359699230596e-18
14.1,0.21235671807077008,0.06971866272197219,0.013959384245728885,0.020214091156479153,-4.4807735688134576e-18
14.133333333333333,0.21164355986107472,0.06975356903329379,0.013883448194146582,0.020160608627983728,-4.4920465813106954e-18
14.166666666666666,0.21093183804984034,0.06978798645989744,0.013807654763849242,0.020107199519958513,-4.503354452966946e-18
