Distance (m),2 h,4 h,6 h,8 h,10 h,12 h
0.014428857715430862,6.0023767829041685e-09,1.4056458782668164e-06,5.108570395103978e-06,3.0141232796963457e-06,7.243601683756526e-07,1.2560756253827286e-07
0.014829659318637275,5.655003894022306e-09,1.3875436944358494e-06,5.081108851015501e-06,3.066285520576127e-06,7.579483244582699e-07,1.3399099988461725e-07
0.015230460921843688,5.3062598362878375e-09,1.3513287262512843e-06,5.025696153636111e-06,3.109857623421885e-06,7.888200772812272e-07,1.4211112434285103e-07
0.0156312625250501,4.9601512864329216e-09,1.3004175256373491e-06,4.946977188344394e-06,3.1472321592757338e-06,8.183972763187839e-07,1.503510120847062e-07
0.01603206412825651,4.620684921189715e-09,1.2382266445182723e-06,4.849596840518942e-06,3.180801699179791e-06,8.481017710451989e-07,1.5909373928191463e-07
0.016432865731462926,4.291867417290371e-09,1.1681726348182812e-06,4.738199995538341e-06,3.212958814176174e-06,8.793554109347321e-07,1.687223821062084e-07
0.016833667334669337,3.977705451467053e-09,1.0936720484616053e-06,4.617431538781182e-06,3.246096075306997e-06,9.135800454616422e-07,1.796200167293193e-07
0.017234468937875752,3.6822057004519137e-09,1.018141437372471e-06,4.491936355626049e-06,3.2826060536143784e-06,9.521975241001887e-07,1.9216971932297948e-07
0.017635270541082163,3.409374840977116e-09,9.449973534751081e-07,4.366359331451534e-06,3.3248813201404344e-06,9.966296963246307e-07,2.0675456605892063e-07
0.018036072144288578,3.1632195497748117e-09,8.776563486937433e-07,4.245345351636224e-06,3.3753144459272807e-06,1.0482984116092276e-06,2.2375763310887494e-07
0.01843687374749499,2.9470886274591993e-09,8.192629959685871e-07,4.133134099924394e-06,3.4369341035000546e-06,1.1094515202413072e-06,2.4402640443296367e-07
0.018837675350701404,2.737287329777822e-09,7.612492621964461e-07,4.016662341691307e-06,3.5359889948447936e-06,1.2138064106225257e-06,2.865170159749893e-07
0.019238476953907815,2.5245479236598538e-09,6.994886489858856e-07,3.88990407940531e-06,3.6763998357493065e-06,1.3698562352267911e-06,3.5719191639279443e-07
0.01963927855711423,2.3147514728571416e-09,6.358534073986432e-07,3.755843261825948e-06,3.845987140592747e-06,1.565841065875529e-06,4.508325810940946e-07
0.02004008016032064,2.1137790411215423e-09,5.722157884964584e-07,3.6174638377127686e-06,4.0325714237542646e-06,1.7900009743901584e-06,5.622204854866024e-07
0.020440881763527055,1.927511692204903e-09,5.104480433410682e-07,3.4777497558253162e-06,4.223973199613012e-06,2.0305760325921065e-06,6.861371049780343e-07
0.020841683366733466,1.7618304898590786e-09,4.5242242299421214e-07,3.3396849649231385e-06,4.408012982548139e-06,2.275806312302791e-06,8.173639149761025e-07
0.02124248496993988,1.6226164978359181e-09,4.000111785176277e-07,3.206253413765781e-06,4.5725112869388e-06,2.5139318853436393e-06,9.506823908885237e-07
0.021643286573146292,1.5157507798872756e-09,3.550865609730541e-07,3.0804390511127914e-06,4.7052886271641414e-06,2.7331928235360696e-06,1.0808740081230098e-06
0.022044088176352707,1.4471143997650006e-09,3.19520821422229e-07,2.9652258257237142e-06,4.7941655176033195e-06,2.9218291987015084e-06,1.2027202420872777e-06
0.022444889779559118,1.4225884212209464e-09,2.951862109268913e-07,2.863597686358098e-06,4.826962472635484e-06,3.0680810826613757e-06,1.3110025681890391e-06
0.022845691382765532,1.4361111060040217e-09,2.779700920469821e-07,2.7670097253765226e-06,4.825038198430681e-06,3.1902289649536198e-06,1.4178380111749893e-06
