Time (h),BA_PVS_concentration_mmol_l,BA_outside_PVS_concentration_mmol_l,BA_peak_time_h,BA_lag_time_h,BA_FTA_time_h,MCA-L_PVS_concentration_mmol_l,MCA-L_outside_PVS_concentration_mmol_l,MCA-L_peak_time_h,MCA-L_lag_time_h,MCA-L_FTA_time_h,MCA-R_PVS_concentration_mmol_l,MCA-R_outside_PVS_concentration_mmol_l,MCA-R_peak_time_h,MCA-R_lag_time_h,MCA-R_FTA_time_h,MCA2-L_PVS_concentration_mmol_l,MCA2-L_outside_PVS_concentration_mmol_l,MCA2-L_peak_time_h,MCA2-L_lag_time_h,MCA2-L_FTA_time_h,MCA2-R_PVS_concentration_mmol_l,MCA2-R_outside_PVS_concentration_mmol_l,MCA2-R_peak_time_h,MCA2-R_lag_time_h,MCA2-R_FTA_time_h,ACA-A2_PVS_concentration_mmol_l,ACA-A2_outside_PVS_concentration_mmol_l,ACA-A2_peak_time_h,ACA-A2_lag_time_h,ACA-A2_FTA_time_h,ACA-A3_PVS_concentration_mmol_l,ACA-A3_outside_PVS_concentration_mmol_l,ACA-A3_peak_time_h,ACA-A3_lag_time_h,ACA-A3_FTA_time_h
6.433333333333334,0.007889823368288126,0.11615776328281222,,,,0.5122621900492508,2.4572540165615537,,,,0.19412257314278583,2.561383242739735,,,,1.8002220054599052,3.1532684298680826,,,,1.4634107634772133,2.8376408480369597,,,,1.888426371666772,3.473975001952827,,,,3.34517404108375,6.312035189575068,,,
6.466666666666667,0.0078005513541738744,0.11477435405089215,,,,0.49575770972512795,2.398194062336568,,,,0.18836319384207376,2.5189592677138024,,,,1.7575440179080184,3.1175559226312393,,,,1.438219464499103,2.8143351556169884,,,,1.847361554579895,3.4197573074978296,,,,3.297171774181316,6.285402773478163,,,
6.5,0.007714175354610576,0.11343796132361497,,,,0.4799460054917282,2.3406483954254442,,,,0.18286309885777124,2.477401107361831,,,,1.715926186111771,3.0816239453512178,,,,1.413515638250899,2.7908116566477643,,,,1.807368084406887,3.3659962754673978,,,,3.249661802649641,6.256936961251494,,,
6.533333333333333,0.007630482706354707,0.11214519403518679,,,,0.4647941897471495,2.2845849626987245,,,,0.17760855640910947,2.4366935877305074,,,,1.6753453616023264,3.045494294692625,,,,1.3892890407431844,2.7670852987899557,,,,1.7684162743394658,3.3127113464523696,,,,3.202635798097862,6.22665249551402,,,
6.566666666666666,0.0075492792273090595,0.11089295007333227,,,,0.45027095841493836,2.229971692227848,,,,0.17258659068055146,2.396821283768956,,,,1.6357784799833621,3.009188692376983,,,,1.3655297367653998,2.743170748342747,,,,1.7304770447593902,3.2599206788827426,,,,3.156085752818002,6.194567465626419,,,
6.6,0.007470387638584881,0.10967839174260406,,,,0.43634652528386814,2.1767765711695697,,,,0.1677849416339058,2.3577685795788796,,,,1.5972026114585318,2.9727287620684404,,,,1.3422280907280386,2.719082393348542,,,,1.6935219502866403,3.2076411891687466,,,,3.1100040454231115,6.16070330191047,,,
6.633333333333334,0.007393646122974829,0.10849892335246253,,,,0.4229925574688653,2.12496771507572,,,,0.16319202670517705,2.3195197235887517,,,,1.5595950056163903,2.9361360043985476,,,,1.3193747568245804,2.694834346595693,,,,1.6575232005338472,3.155888590451522,,,,3.064383493812285,6.125084746229692,,,
6.666666666666667,0.007318907007340051,0.10735217073554626,,,,0.410182112194832,2.0745134293551226,,,,0.15879690432849194,2.282058878929887,,,,1.5229331309121799,2.8994317705531483,,,,1.2969606686617485,2.67044044843331,,,,1.6224536752805392,3.1046774301415394,,,,3.019217396483225,6.08773980030596,,,
6.7,0.007246035557620382,0.10623596252019908,,,,0.3978895750699707,2.025382263566202,,,,0.1545892392272355,2.2453701692881856,,,,1.4871947092615863,2.862637234818848,,,,1.2749770284957551,2.6459142693315414,,,,1.5882869347212407,3.054021126404962,,,,2.974499563192519,6.048699653257994,,,
6.733333333333333,0.007174908876265056,0.10514831299817763,,,,0.3860905999838364,1.9775430591717909,,,,0.15055926941100087,2.2094377205000177,,,,1.4523577461381387,2.825773366459665,,,,1.2534152962011906,2.6212691121389446,,,,1.5549972253851603,3.00393200374013,,,,2.930224335937376,6.007998589936422,,,
