Time (h),CSF_modelA_conc_mmol_l,CSF_LargePVSA_conc_mmol_l,CSF_modelA-strongVM_conc_mmol_l,CSF_LargePVS_conc_mmol_l,parenchyma_modelA_conc_mmol_l,parenchyma_LargePVSA_conc_mmol_l,parenchyma_modelA-strongVM_conc_mmol_l,parenchyma_LargePVS_conc_mmol_l,PVS_artery_modelA_conc_mmol_l,PVS_artery_LargePVSA_conc_mmol_l,PVS_artery_modelA-strongVM_conc_mmol_l,PVS_artery_LargePVS_conc_mmol_l,PVS_vein_modelA_conc_mmol_l,PVS_vein_LargePVSA_conc_mmol_l,PVS_vein_modelA-strongVM_conc_mmol_l,PVS_vein_LargePVS_conc_mmol_l
12.3,0.7592344078120711,0.6775933569837024,0.6295575950561818,0.6009219536668476,0.19736115368441493,0.13809500801697538,0.32585862178909264,0.17269165479061901,1.6803582887876518,1.2359957176243248,0.6713710170367502,1.1679118229015926,0.7297985264385719,0.5057726522493016,0.5956685505830882,0.6245072771776012
12.333333333333334,0.7573973709853551,0.6758994839174514,0.6274290908465173,0.5994106791845845,0.19772943784490607,0.1383328208992904,0.3264576031904806,0.173096632286858,1.6773435202484845,1.2354171659301107,0.6680057927592031,1.1657909152666728,0.7292972676039758,0.5059886197674075,0.5942287081105305,0.6242004407682198
12.366666666666667,0.7555613005739397,0.6742094488972049,0.6253036275698541,0.5979028681276272,0.19809691428378898,0.13857039377748354,0.32705387127823493,0.17350119888030419,1.6742837898519622,1.2348233604842327,0.6646306607826672,1.1636550310376952,0.728794698409025,0.5061948751968195,0.592791467512457,0.623885939529121
12.4,0.753726268474501,0.67252329546519,0.6231813025604112,0.5963985758435215,0.19846358519808313,0.13880774541656016,0.32764740721552327,0.17390534783025766,1.6711792992617611,1.2342139942070638,0.6612460658743565,1.1615040603466515,0.7282908410966423,0.5063915886677631,0.5913568689515611,0.623563893127637
12.433333333333334,0.7518923458167696,0.6708410657719441,0.6210622118461501,0.5948978562159015,0.19882945201448463,0.13904489356558639,0.3282381913420583,0.1743090715611422,1.668030276009093,1.2335887724572827,0.6578524661299733,1.159337906757933,0.7277857107567824,0.5065789279425214,0.5899249495078699,0.623234417944608
12.466666666666667,0.750059602888315,0.6691628005651017,0.6189464500827563,0.593400761632033,0.1991945154029411,0.13928185496868886,0.3288262032188371,0.17471236168543308,1.6648369729088688,1.2329474129733546,0.6544503320169721,1.157156487023626,0.727279315544672,0.5067570583437286,0.5884957432762502,0.6228976271097917
12.5,0.7482281090617889,0.6674885391792404,0.6168341104905808,0.5919073429518935,0.19955877529084654,0.13951864537703446,0.32941142167363513,0.17511520902744296,1.6615996674738152,1.232289645810584,0.6510401454295425,1.1549597308358122,0.7267716569014815,0.5069261426874235,0.5870692814624576,0.6225536305396785
12.533333333333333,0.7463979327254708,0.6658183195270057,0.6147252847945841,0.5904176494788365,0.1999222308777229,0.13975527956160871,0.3299938248472202,0.1755176036479197,1.6583186613266079,1.2316152132736584,0.6476223987563338,1.1527475805759213,0.72626272977723,0.5070863412208819,0.5856455924781165,0.6222025349777369
12.566666666666666,0.7445691412167714,0.6641521780910934,0.6126200631677494,0.5889317289324129,0.2002848806506664,0.13999177132671242,0.3305733902397983,0.1759195348693338,1.654994279609824,1.230923869844573,0.6441975939621241,1.1505199910615642,0.7257525228558133,0.5072378115653662,0.5842247020345144,0.621844444037009
12.6,0.7427418007590082,0.6624901499174548,0.6105185341774596,0.5874496274225538,0.20064672239998624,0.14022813352418834,0.3311500947580183,0.1763209913019072,1.6516268703936599,1.2302153821062227,0.6407662416843919,1.1482769292909836,0.7252410187822063,0.507380708663706,0.5828066332355605,0.6214794582450639
12.633333333333333,0.7409159764009579,0.6608322686096618,0.6084207847348637,0.585971389425785,0.20100775323558126,0.14046437806840315,0.33172391476210616,0.1767219608702457,1.6482168040814205,1.2294895286613976,0.6373288603458681,1.1460183741851917,0.7247281943914209,0.5075151847328048,0.581391406669885,0.6211076750912542
12.666666666666666,0.7390917319600451,0.6591785663241838,0.6063269000475303,0.5844970577632344,0.20136796960359188,0.14070051595176236,0.33229482611317396,0.1771224308404229,1.6447644728125865,1.228746100047275,0.6338859752838107,1.1437443163283103,0.724214020939284,0.5076413892209884,0.5799790405023139,0.6207291890762203
12.7,0.7372691299683439,0.6575290737667445,0.6042369635750755,0.5830266735803206,0.20172736730352614,0.14093655726090107,0.3328628042207605,0.17752238784762664,1.6412702898635407,1.2279848986455022,0.6304381178970034,1.1414547577059333,0.723698464334867,0.5077594687702673,0.5785695505646646,0.6203440917635626
12.733333333333333,0.7354482316218273,0.655883820189972,0.602151056987887,0.5815602763283997,0.202085941505812,0.14117251119334986,0.3334278240899884,0.17792181792410797,1.6377346890458189,1.2272057385877373,0.6269858248111648,1.1391497114419349,0.7231814853742586,0.5078695671834563,0.577162950446203,0.6199524718336623
12.766666666666667,0.7336290967329192,0.6542428333917558,0.6000692601286673,0.5800979037482262,0.20244368676956243,0.14140838607475695,0.33398986036883505,0.17832070652754067,1.6341581241018883,1.2264084456566497,0.6235296370634462,1.1368292015339176,0.722663039975681,0.5079718253960855,0.5757592515834826,0.6195544151395682
12.8,0.7318117836861855,0.6526061397147886,0.5979916509772608,0.5786395918551037,0.2028005970607676,0.1416441893765909,0.3345488873951298,0.17871903856953159,1.6305410680985513,1.225592857182603,0.620070099306818,1.1344932625872923,0.7221430794156279,0.5080663814530963,0.5743584633500767,0.6191500047648498
12.833333333333334,0.7299963493971253,0.6509737640471948,0.5959183056181411,0.5771853749260605,0.20315666577071673,0.14187992773413896,0.3351048792431593,0.17911679844449316,1.6268840128178852,1.2247588219356809,0.6166077590347053,1.1321419395483305,0.7216215505658771,0.5081533704903263,0.5729605931458644,0.6187393210833866
12.866666666666667,0.7281828492741282,0.6493457298239109,0.5938492982108954,0.5757352854886204,0.20351188573470536,0.14211560696504164,0.33565780976988185,0.17951397005843503,1.6231874681458143,1.223906200013416,0.6131431658265993,1.1297752874362694,0.7210983961312109,0.5082329247205699,0.5715656464861332,0.6183224418209752
12.9,0.7263713371836616,0.6477220590293508,0.5917847009634888,0.5742893543116255,0.2038662492508368,0.14235123208801076,0.336207652660682,0.1799105368580184,1.6194519614584906,1.2230348627240528,0.6096768706150998,1.1273933710747566,0.7205735548875184,0.5083051734243021,0.5701736270905585,0.6178994421186456
12.933333333333334,0.7245618654184979,0.6461027722006143,0.5897245841085116,0.5728476103975475,0.20421974809922888,0.14258680734195606,0.3367543814744333,0.18030648185946066,1.6156780370065074,1.2221446924654165,0.6062094249746448,1.124996264822673,0.7200469619201837,0.5083702429448932,0.5687845369718689,0.6174703945976798
