Time (h),BA_modelA-strongVM_PVS_concentration_mmol_l,BA_modelA-strongVM_outer_concentration_mmol_l,BA_modelB2-100_PVS_concentration_mmol_l,BA_modelB2-100_outer_concentration_mmol_l,MCA-R_modelA-strongVM_PVS_concentration_mmol_l,MCA-R_modelA-strongVM_outer_concentration_mmol_l,MCA-R_modelB2-100_PVS_concentration_mmol_l,MCA-R_modelB2-100_outer_concentration_mmol_l,MCA-L_modelA-strongVM_PVS_concentration_mmol_l,MCA-L_modelA-strongVM_outer_concentration_mmol_l,MCA-L_modelB2-100_PVS_concentration_mmol_l,MCA-L_modelB2-100_outer_concentration_mmol_l,ACA-A2_modelA-strongVM_PVS_concentration_mmol_l,ACA-A2_modelA-strongVM_outer_concentration_mmol_l,ACA-A2_modelB2-100_PVS_concentration_mmol_l,ACA-A2_modelB2-100_outer_concentration_mmol_l,ACA-A3_modelA-strongVM_PVS_concentration_mmol_l,ACA-A3_modelA-strongVM_outer_concentration_mmol_l,ACA-A3_modelB2-100_PVS_concentration_mmol_l,ACA-A3_modelB2-100_outer_concentration_mmol_l
0.8,0.02918764348192429,0.4182017755691856,0.23113118534263277,0.254667438351405,0.0002660736378631916,1.8439197170019573e-05,0.00010800866328457303,9.647861844535441e-05,1.0348272281385625e-05,1.288868860194345e-06,1.8162637503278525e-06,1.6757265970439232e-06,3.582534655235953e-08,-7.45268404860499e-08,-5.316851246011658e-07,-5.61362449139473e-07,-1.1444354544323603e-10,-1.9572292152423153e-09,-1.4620188525809536e-08,-1.3887499542666303e-08
0.8333333333333334,0.03998645041066525,0.5672856331712949,0.31149482143112617,0.3426455576176168,0.00045207358551198416,2.0523923055071912e-05,0.0002129873545002586,0.00018920611623470367,1.865526646932757e-05,2.390491197420798e-06,3.566266134638073e-06,3.299949304902638e-06,7.51517958659712e-08,-1.3109338636544682e-07,-9.564561048602057e-07,-1.0101565427674417e-06,-2.854536535040551e-10,-4.229802875670796e-09,-3.076141191409732e-08,-2.9274105934926345e-08
0.8666666666666667,0.05368900170110488,0.7549582928995616,0.4117253453851041,0.4522244893269263,0.0007463382712417908,2.3776566011168918e-05,0.00040169421676708477,0.00035667691923967033,3.2640180743704995e-05,4.301572692620958e-06,6.79653583713839e-06,6.305889800531668e-06,1.5362848169123537e-07,-2.1855015507415905e-07,-1.6651121364103753e-06,-1.758566909206074e-06,-3.791861994090829e-10,-8.46385798200716e-09,-6.174358558681918e-08,-5.8857257239067e-08
0.9,0.07075892196862556,0.9871560277292047,0.534543598853298,0.58633826282039,0.0011992719972711418,3.0094207913683337e-05,0.0007263852072076618,0.0006462201343369034,5.5532463834344105e-05,7.5239583007412565e-06,1.2594111089869053e-05,1.1714030389926456e-05,3.054483582907701e-07,-3.458693342633517e-07,-2.8132295628256927e-06,-2.970360268574197e-06,7.267057197870863e-11,-1.591660062632331e-08,-1.1898218894546988e-07,-1.1359672786316969e-07
0.9333333333333333,0.09166576686698635,1.2698966606388693,0.6826116679443323,0.747855726424335,0.0018786868571188172,4.2754023365917156e-05,0.001263769200814122,0.0011276627466663086,9.203403224368378e-05,1.2814451676595707e-05,2.2727467671316124e-05,2.118845000267901e-05,5.90319999310598e-07,-5.189120790630904e-07,-4.623587860964246e-06,-4.879738711618367e-06,2.3082084739567976e-09,-2.8367758980261362e-08,-2.2116998864063463e-07,-2.114672268483924e-07
0.9666666666666667,0.116874014024409,1.6091513894686724,0.8584673737249497,0.9395104592438867,0.0028734610980064583,6.694863023250786e-05,0.00212279734249402,0.0019006418520659788,0.00014882138846011595,2.1285736699151027e-05,4.000153406283209e-05,3.7374425824312536e-05,1.1092884376695982e-06,-7.343528873749537e-07,-7.4071051092300105e-06,-7.813136426512787e-06,9.167958340499155e-09,-4.814753532363504e-08,-3.980256702319262e-07,-3.810889468654506e-07
1.0,0.14683230512442455,2.0107187407479916,1.0644650031149636,1.1638373735621654,0.00429724206661036,0.00011040768221684886,0.0034536192676835613,0.003103065832061393,0.00023515583926553776,3.4535314900527055e-05,6.875928775684758e-05,6.437661914316525e-05,2.028382546322956e-06,-9.692966305961014e-07,-1.1587213041951472e-05,-1.2214559230978696e-05,2.6596478252651646e-08,-7.800084795193689e-08,-6.955185399745489e-07,-6.667965047198344e-07
1.0333333333333334,0.18196344342385823,2.480105961918695,1.3027247116481104,1.423118584722816,0.006291993500077567,0.0001840908956044082,0.005457491987884441,0.004920539126351298,0.0003636069974255972,5.4806326362130615e-05,0.00011557314197930785,0.00010841982361707928,3.6129467356923147e-06,-1.1647564074781257e-06,-1.772714912351597e-05,-1.8673935451205256e-05,6.621927296535195e-08,-1.2063500391729312e-07,-1.182952880705693e-06,-1.135524012415377e-06
1.0666666666666667,0.22265555671197024,3.022422286692137,1.5750922230006603,1.7193402753905525,0.009031169750318353,0.00030293109013579487,0.008397313111660719,0.007596455661263487,0.0005508908982163744,8.518369302222816e-05,0.00019017549643493087,0.00017874046215024525,6.276134440068026e-06,-1.2007557544801773e-06,-2.655914098594443e-05,-2.795745286733846e-05,1.495804401017245e-07,-1.7772032120946337e-07,-1.9623212347965015e-06,-1.885911074210529e-06
1.1,0.2692547244053777,3.642287459463729,1.883109643100946,2.0541614284843788,0.012722299599760022,0.0004866005425496817,0.012608346176153211,0.011442364075022303,0.0008188198539135382,0.00012982840735415997,0.0003066826509002474,0.0002887620032802734,1.0645651180101329e-05,-8.604376537778472e-07,-3.9013828441479494e-05,-4.1038246290304214e-05,3.1485378590538924e-07,-2.480141940000752e-07,-3.1803350351986563e-06,-3.060036045891261e-06
