Time (h),BA_PVS_concentration_mmol_l,BA_outside_PVS_concentration_mmol_l,BA_peak_time_h,BA_lag_time_h,BA_FTA_time_h,MCA-L_PVS_concentration_mmol_l,MCA-L_outside_PVS_concentration_mmol_l,MCA-L_peak_time_h,MCA-L_lag_time_h,MCA-L_FTA_time_h,MCA-R_PVS_concentration_mmol_l,MCA-R_outside_PVS_concentration_mmol_l,MCA-R_peak_time_h,MCA-R_lag_time_h,MCA-R_FTA_time_h,MCA2-L_PVS_concentration_mmol_l,MCA2-L_outside_PVS_concentration_mmol_l,MCA2-L_peak_time_h,MCA2-L_lag_time_h,MCA2-L_FTA_time_h,MCA2-R_PVS_concentration_mmol_l,MCA2-R_outside_PVS_concentration_mmol_l,MCA2-R_peak_time_h,MCA2-R_lag_time_h,MCA2-R_FTA_time_h,ACA-A2_PVS_concentration_mmol_l,ACA-A2_outside_PVS_concentration_mmol_l,ACA-A2_peak_time_h,ACA-A2_lag_time_h,ACA-A2_FTA_time_h,ACA-A3_PVS_concentration_mmol_l,ACA-A3_outside_PVS_concentration_mmol_l,ACA-A3_peak_time_h,ACA-A3_lag_time_h,ACA-A3_FTA_time_h
7.533333333333333,0.07162229322405356,0.08901557319450171,,,,5.71489501405046,6.019431956669667,,,,1.958113210154657,4.450967984330726,,,,6.838010211734647,6.9080180220155585,,,,5.743529794683247,4.986828949384724,,,,8.171430143473618,8.978695098828808,,,,9.135735116371254,10.514088403237173,,,
7.566666666666666,0.0707323418424667,0.08842816658929616,,,,5.602211481393485,5.916038597317517,,,,1.93146213421371,4.424121406894287,,,,6.923402190102225,6.983149221619456,,,,5.753418892562687,5.011110495871295,,,,8.167851334574133,8.963208180293995,,,,9.23670760551628,10.594939795339636,,,
7.6,0.06988685278747284,0.08786140766019294,,,,5.491812885090488,5.8144413393131815,,,,1.9057924031087934,4.397628969167836,,,,7.006488713253132,7.056083626774861,,,,5.761757249673989,5.0343227611294905,,,,8.1622287574349,8.945866841946113,,,,9.334634045627057,10.672248257411054,,,
7.633333333333334,0.06908304810173153,0.08731434544302276,,,,5.383678029967243,5.714632824056233,,,,1.8810522698600607,4.37147010607648,,,,7.087218239750904,7.126784765933844,,,,5.768542440578315,5.056448510703875,,,,8.154610585623402,8.92672249268523,,,,9.429485884920718,10.746022649071021,,,
7.666666666666667,0.06831834526256694,0.08678607197032162,,,,5.277784330033572,5.6166042649067665,,,,1.8571923525179272,4.345625092177429,,,,7.1655430089664405,7.195219249609283,,,,5.773774708756932,5.077471863078928,,,,8.145045426485032,8.905826463759995,,,,9.52123895487892,10.816275535148229,,,
7.7,0.06759034219210705,0.08627571928507394,,,,5.17410791381099,5.5203455288551515,,,,1.834165567350974,4.3200750379705894,,,,7.241419040749243,7.26135675497258,,,,5.777456922827608,5.097378328709499,,,,8.133582235149188,8.883229945579062,,,,9.609873335506686,10.883022996300319,,,
7.733333333333333,0.06689680340273847,0.08578245671834848,,,,5.072623725914004,5.425845216084332,,,,1.8119270601271946,4.294801883626151,,,,7.314806126293231,7.325170004698109,,,,5.779594524105187,5.116154843408163,,,,8.120270232436308,8.858983928227344,,,,9.695373216966729,10.946284442216795,,,
7.766666666666667,0.06623564719713851,0.08530548840930335,,,,4.973305624934959,5.3330907374127605,,,,1.7904341359702638,4.269788390378924,,,,7.385667810564369,7.386634740313127,,,,5.780195466162674,5.133789796143152,,,,8.105158826618874,8.833139145592467,,,,9.777726758380908,11.006082427906914,,,
7.8,0.06560493384745135,0.08484405104761865,,,,4.876126477680919,5.242068389605978,,,,1.769646188229654,4.245018129826813,,,,7.453971366669948,7.445729690317402,,,,5.779270147046818,5.150273051323194,,,,8.088297538979978,8.805746023001419,,,,9.856925944538471,11.06244247351287,,,
7.833333333333333,0.0650028546831705,0.08439741181988444,,,,4.78105824981035,5.15276342854542,,,,1.7495246267627202,4.220475471358514,,,,7.5196877625598155,7.502436533341191,,,,5.7768313347970075,5.165595965666485,,,,8.069735933104287,8.776854628263294,,,,9.932966441198142,11.115392888030065,,,
