Distance (m),2 h,4 h,6 h,8 h,10 h,12 h
0.04248496993987976,2.208912671108247e-09,6.900949931358672e-07,3.893070609657144e-06,3.324898188128422e-06,1.1438337298307788e-06,3.473397536722756e-07
0.04288577154308617,2.240940885073799e-09,6.924968712301494e-07,3.913919297933779e-06,3.3401411159682613e-06,1.1442824481333313e-06,3.350024992693564e-07
0.043286573146292584,2.2667733288614675e-09,6.847424033037558e-07,3.864724821861094e-06,3.294850706604221e-06,1.1300938492364181e-06,3.229757386236995e-07
0.043687374749499,2.2891432934641052e-09,6.653341106003506e-07,3.741775782489629e-06,3.1822379802263784e-06,1.0948144859518001e-06,3.098845256127325e-07
0.04408817635270541,2.3091560578415236e-09,6.369606862958985e-07,3.5623783120212623e-06,3.01904808167573e-06,1.0436902844469776e-06,2.962671583083756e-07
0.04448897795591182,2.327916900953532e-09,6.023108235663646e-07,3.343838542657873e-06,2.822026155793276e-06,9.819671708894517e-07,2.82661934782549e-07
0.044889779559118236,2.346531101759942e-09,5.640732155877127e-07,3.10346260660133e-06,2.6079173474200055e-06,9.148910714467207e-07,2.696071531071724e-07
0.04529058116232465,2.366103939220563e-09,5.249365555359077e-07,2.858556636053514e-06,2.393466801396919e-06,8.477079122862853e-07,2.576411113541662e-07
0.045691382765531065,2.3877406922952064e-09,4.875895365869145e-07,2.6264267632163015e-06,2.1954196625650126e-06,7.85663619575646e-07,2.473021075954504e-07
0.04609218436873747,2.412546639943682e-09,4.5472085191669834e-07,2.424379120291572e-06,2.0305210757652847e-06,7.340041194823037e-07,2.3912843990294533e-07
0.04649298597194389,2.441627061125802e-09,4.2901919470122263e-07,2.269719839481195e-06,1.915516185838727e-06,6.979753381737567e-07,2.3365840634857068e-07
0.0468937875751503,2.4760872348013746e-09,4.1317325811645274e-07,2.17975505298705e-06,1.8671501376263389e-06,6.828232018175063e-07,2.3143030500424678e-07
0.047294589178356716,2.5201472540219968e-09,4.046548788159671e-07,2.1376792529285747e-06,1.8666501225121343e-06,6.839457782583452e-07,2.3224274213419666e-07
0.047695390781563124,2.578439054199323e-09,3.96671818694261e-07,2.0988188462911473e-06,1.8667665430765973e-06,6.882737457063626e-07,2.3502812118587616e-07
0.04809619238476954,2.6500792542317896e-09,3.892381398030842e-07,2.0630140583344217e-06,1.8669662023002963e-06,6.953016657864912e-07,2.395059732398726e-07
0.04849699398797595,2.7341303893976444e-09,3.824458496463386e-07,2.0306148269088205e-06,1.8672485394338601e-06,7.046697595757596e-07,2.4540595628390805e-07
0.04889779559118237,2.829654994975139e-09,3.76386955727926e-07,2.001971089864763e-06,1.8676129937279163e-06,7.160182481511961e-07,2.5245772830570477e-07
0.049298597194388775,2.9357156062425233e-09,3.7115346555174843e-07,1.9774327850526725e-06,1.868059004433093e-06,7.28987352589829e-07,2.6039094729298484e-07
0.04969939879759519,3.0513747584780502e-09,3.668373866217074e-07,1.957349850322967e-06,1.8685860108000176e-06,7.43217293968687e-07,2.6893527123347057e-07
