Time (h),CSF mean concentration (mmol/l),PAR mean concentration (mmol/l),PVS art. mean concentration (mmol/l),PVS vein mean concentration (mmol/l),PVS cont. mean concentration (mmol/l)
11.0,0.7618607328954287,0.2526926150030193,0.8770510712958728,0.7576593123903939,2.73005472602463e-16
11.033333333333333,0.7597932356671371,0.2530707530108196,0.8740499465272027,0.7559226465719724,2.725857358336612e-16
11.066666666666666,0.7577234670076287,0.2534452865089395,0.8710341022502743,0.7541834747731554,2.721639798211803e-16
11.1,0.7556514978120138,0.2538162423298619,0.8680029412048571,0.7524420183628475,2.7174031451253913e-16
11.133333333333333,0.7535774015745025,0.25418364707592905,0.8649559103231512,0.7506984910953989,2.7131484828815836e-16
11.166666666666666,0.751501254265199,0.2545475271171046,0.8618925005459964,0.7489530992332332,2.708876879749632e-16
11.2,0.7494231342052322,0.2549079085891227,0.8588122465624884,0.747206041676815,2.7045893885703206e-16
11.233333333333333,0.7473431219402071,0.25526481739218576,0.8557147264761795,0.745457510101082,2.7002870468333847e-16
11.266666666666667,0.7452613001132314,0.25561827919016766,0.8525995614012154,0.7437076890977182,2.6959708767264987e-16
11.3,0.743177753336601,0.2559683194100293,0.8494664149917209,0.7419567563224763,2.691641885156499e-16
11.333333333333334,0.741092568063422,0.2563149632419935,0.8463149929077943,0.7402048826469477,2.6873010637438356e-16
11.366666666666667,0.7390058324591522,0.2566582356396364,0.843145042221665,0.7384522323141278,2.682949388791273e-16
11.4,0.7369176362731809,0.2569981613206854,0.8399563507673632,0.7366989630969619,2.6785878212280833e-16
11.433333333333334,0.7348280707111916,0.2573347647679787,0.8367487464374306,0.7349452264594762,2.674217306531068e-16
11.466666666666667,0.7327372283080147,0.25766807023069527,0.833522096430016,0.7331911677197794,2.669838774623821e-16
11.5,0.7306452028018694,0.2579981017259022,0.8302763064499614,0.7314369262143514,2.665453139755895e-16
11.533333333333333,0.7285520890095786,0.2583248830403121,0.8270113198671227,0.7296826354632258,2.6610613003634233e-16
11.566666666666666,0.7264579827035976,0.25864843773224555,0.8237271168354402,0.7279284233353595,2.6566641389130554e-16
11.6,0.7243629804906516,0.2589687891337622,0.8204237133759223,0.7261744122139097,2.652262521730964e-16
11.633333333333333,0.7222671796923913,0.2592859603530798,0.8171011604270003,0.7244207191609287,2.647857298818869e-16
11.666666666666666,0.720170678228131,0.2595999742768827,0.8137595428652925,0.7226674560809435,2.6434493036589738e-16
11.7,0.718073574500154,0.25991085357300986,0.8103989785000656,0.7209147298833536,2.6390393530098114e-16
11.733333333333333,0.7159759672812662,0.26021862069315077,0.8070196170443138,0.7191626426429524,2.6346282466949906e-16
11.766666666666667,0.7138779556050918,0.26052329787553685,0.8036216390655428,0.717411291758601,2.630216767386906e-16
11.8,0.7117796386591737,0.2608249071477976,0.8002052549191709,0.7156607701095705,2.6258056803873674e-16
11.833333333333334,0.7096811156810988,0.2611234703298184,0.7967707036672342,0.7139111662094564,2.6213957334072046e-16
11.866666666666667,0.7075824858572958,0.2614190090366601,0.793318251985238,0.7121625643573488,2.6169876563468136e-16
11.9,0.7054838482252964,0.26171154468148033,0.7898481930596896,0.7104150447862685,2.61258216107962e-16
11.933333333333334,0.703385301579121,0.2620010984783413,0.7863608454788916,0.7086686838085018,2.6081799412403636e-16
11.966666666666667,0.7012869443775585,0.2622876914452555,0.7828565521193735,0.7069235539580067,2.6037816720200827e-16
12.0,0.6991888746563292,0.2625713444069134,0.7793356790302632,0.7051797241294506,2.5993880099695714e-16
12.033333333333333,0.6970911899430722,0.262852077997579,0.7757986143178774,0.7034372597142461,2.5949995928130806e-16
12.066666666666666,0.694993987176061,0.2631299126639172,0.7722457670325361,0.7016962227332149,2.5906170392739283e-16
12.1,0.6928973626261361,0.2634048686675541,0.7686775660597237,0.6999566719659861,2.5862409489135295e-16
12.133333333333333,0.6908014118221412,0.26367696608793606,0.7650944590173784,0.6982186630772425,2.581871901985432e-16
12.166666666666666,0.6887062294796222,0.26394622482479574,0.761496911161189,0.6964822487396722,2.577510459305603e-16
12.2,0.6866119094331948,0.2642126646006679,0.7578854042995534,0.6947474787537906,2.5731571621404085e-16
12.233333333333333,0.6845185445719429,0.2644763049634003,0.7542604357198123,0.6930144001646543,2.568812532113317e-16
12.266666666666667,0.6824262267785802,0.26473716528833924,0.7506225171271972,0.6912830573755332,2.564477071131509e-16
12.3,0.6803350468714997,0.2649952647807736,0.7469721735979792,0.6895534922586731,2.560151261333267e-16
12.333333333333334,0.678245094550517,0.2652506224779313,0.7433099425480374,0.6878257442631621,2.555835565056993e-16
12.366666666666667,0.676156458345541,0.26550325725113283,0.7396363727180695,0.6860998505201023,2.551530424832615e-16
12.4,0.6740692255685585,0.26575318780773444,0.7359520231765979,0.6843758459450742,2.5472362633959336e-16
12.433333333333334,0.6719834822688299,0.26600043269298346,0.7322574623417076,0.6826537633381675,2.5429534837264e-16
12.466666666666667,0.6698993131910854,0.2662450102918143,0.7285532670225929,0.6809336334814939,2.5386824691087073e-16
12.5,0.6678168017365594,0.26648693883053376,0.7248400214815859,0.6792154852345238,2.5344235832184155e-16
12.533333333333333,0.6657360299273253,0.26672623637836596,0.7211183165176284,0.6774993456271107,2.5301771702317607e-16
12.566666666666666,0.663657078373107,0.26696292084904166,0.7173887485717012,0.6757852399505403,2.5259435549596186e-16
12.6,0.661580026241296,0.2671970100021187,0.7136519188550093,0.6740731918466156,2.5217230430056046e-16
12.633333333333333,0.6595049512292569,0.2674285214443261,0.7099084325003011,0.6723632233948189,2.517515920948031e-16
12.666666666666666,0.6574319295395847,0.2676574726308751,0.7061588977369105,0.6706553551978474,2.5133224565454636e-16
12.7,0.6553610358578301,0.26788388086645987,0.702403925089878,0.6689496064653446,2.509142898965435e-16
12.733333333333333,0.6532923433326802,0.26810776330655006,0.6986441266035617,0.6672459950962133,2.504977479035862e-16
12.766666666666667,0.6512259235585491,0.26832913695823,0.6948801150898887,0.6655445377593748,2.5008264095185326e-16
12.8,0.6491618465606208,0.2685480186812617,0.6911125034016563,0.6638452499730914,2.496689885404022e-16
12.833333333333334,0.6471001807818907,0.26876442518891175,0.6873419037308826,0.6621481461830727,2.4925680842272287e-16
12.866666666666667,0.645040993072631,0.26897837304881733,0.6835689269324319,0.6604532398391397,2.4884611664028065e-16
12.9,0.6429843486817887,0.2691898786836903,0.6797941818729274,0.6587605434707979,2.484369275579491e-16
12.933333333333334,0.6409303112504565,0.2693989583721719,0.6760182748050584,0.657070068761546,2.480292539012422e-16
12.966666666666667,0.6388789428072267,0.26960562824944606,0.6722418087670664,0.6553818266220426,2.476231067952451e-16
13.0,0.6368303037654539,0.269809904307856,0.6684653830075923,0.6536958272621796,2.4721849580513543e-16
13.033333333333333,0.634784452922466,0.27001180239757644,0.6646895924355601,0.6520120802619229,2.4681542897818735e-16
13.066666666666666,0.6327414474600703,0.2702113382271626,0.6609150270950829,0.6503305946411998,2.464139128871428e-16
13.1,0.6307013429470822,0.27040852736417176,0.6571422716651545,0.6486513789285496,2.4601395267483387e-16
13.133333333333333,0.6286641933434322,0.2706033852356318,0.6533719049839178,0.6469744412286748,2.4561555209993757e-16
13.166666666666666,0.6266300510054361,0.270795927128673,0.6496044995972452,0.6452997892888547,2.4521871358374155e-16
13.2,0.6245989666929271,0.270986168190919,0.6458406213314145,0.6436274305642488,2.44823438257801e-16
13.233333333333333,0.6225709895776128,0.27117412343110947,0.6420808288894977,0.6419573722818438,2.444297260123581e-16
13.266666666666667,0.6205461672526007,0.2713598077195841,0.6383256734711784,0.6402896215033372,2.4403757554540804e-16
13.3,0.6185245457434478,0.2715432357887636,0.6345756984156209,0.6386241851866241,2.4364698441228632e-16
13.333333333333334,0.6165061695203907,0.2717244222337795,0.630831438867054,0.636961070245996,2.4325794907565407e-16
13.366666666666667,0.6144910815114473,0.2719033815128589,0.6270934214625874,0.635300283610908,2.428704649557658e-16
13.4,0.6124793231170668,0.2720801279479356,0.6233621640419633,0.6336418322833833,2.4248452648089724e-16
13.433333333333334,0.6104709342254796,0.2722546757252903,0.6196381753786604,0.6319857233938136,2.4210012713782105e-16
13.466666666666667,0.6084659532292834,0.27242703889598724,0.6159219549320845,0.6303319642552995,2.417172595222151e-16
13.5,0.606464417042797,0.2725972313766301,0.6122139926201865,0.6286805624162503,2.4133591538889693e-16
13.533333333333333,0.6044663611205436,0.2727652669498269,0.6085147686121594,0.627031525711348,2.4095608570177164e-16
13.566666666666666,0.6024718194764812,0.27293115926495726,0.6048247531406721,0.6253848623107421,2.4057776068339707e-16
13.6,0.6004808247040424,0.2730949218388475,0.6011444063331802,0.6237405807673867,2.402009298640667e-16
13.633333333333333,0.5984934079970757,0.27325656805640974,0.5974741780617628,0.6220986900624826,2.398255821303111e-16
13.666666666666666,0.5965095991715935,0.2734161111714086,0.5938145078109102,0.6204591996489417,2.394517057727355e-16
13.7,0.5945294266878586,0.27357356430730845,0.5901658245629627,0.6188221194928402,2.390792885331047e-16
13.733333333333333,0.5925529176737367,0.2737289404579512,0.5865285467003097,0.6171874601127455,2.3870831765059083e-16
13.766666666666667,0.5905800979482192,0.27388225248851716,0.5829030819242,0.6155552326168943,2.383387799071195e-16
13.8,0.5886109920459618,0.27403351313632884,0.5792898271893062,0.6139254487381719,2.379706616717356e-16
13.833333333333334,0.5866456232418364,0.2741827350117508,0.5756891686536771,0.6122981208667683,2.3760394894392566e-16
13.866666666666667,0.5846840135767862,0.2743299305992114,0.5721014816435076,0.6106732620805839,2.372386273958411e-16
13.9,0.582726183883633,0.2744751122580831,0.5685271306320854,0.6090508861732116,2.368746824133613e-16
